state,district,month,bio_age_5_17,bio_age_17_plus,total_bio_updates,child_to_adult_ratio,child_bio_share,Bio_Stress_Index,LOW_CHILD_COMPLIANCE,INFRA_STRESS,ADULT_SPIKE,CATCH_UP_SPIKE,child_change,adult_change,FUTURE_SURGE_RISK
Arunachal Pradesh,Kamle,2025-12,2,2,4,1.0,0.5,0.0116031715335525,0,0,0,0,-6.0,-10.0,0
Arunachal Pradesh,Kra Daadi,2025-03,75,122,197,0.6147540983606558,0.3807106598984771,0.5714561980274608,1,0,1,1,,,0
Arunachal Pradesh,Kra Daadi,2025-04,127,80,207,1.5875,0.6135265700483091,0.6004641268613421,0,0,0,0,52.0,-42.0,1
Arunachal Pradesh,Kra Daadi,2025-05,118,80,198,1.475,0.5959595959595959,0.5743569909108489,0,0,0,0,-9.0,0.0,0
Arunachal Pradesh,Kra Daadi,2025-06,73,56,129,1.3035714285714286,0.5658914728682171,0.3742022819570682,0,0,0,0,-45.0,-24.0,0
Arunachal Pradesh,Kra Daadi,2025-07,95,83,178,1.144578313253012,0.5337078651685393,0.5163411332430864,0,0,0,0,22.0,27.0,0
Arunachal Pradesh,Kra Daadi,2025-09,75,37,112,2.027027027027027,0.6696428571428571,0.3248888029394701,0,0,0,0,-20.0,-46.0,0
Arunachal Pradesh,Kra Daadi,2025-10,53,22,75,2.409090909090909,0.7066666666666667,0.2175594662541094,0,0,0,0,-22.0,-15.0,0
Arunachal Pradesh,Kra Daadi,2025-11,34,24,58,1.4166666666666667,0.5862068965517241,0.1682459872365113,0,0,0,0,-19.0,2.0,0
Arunachal Pradesh,Kra Daadi,2025-12,67,19,86,3.526315789473684,0.7790697674418605,0.2494681879713788,0,0,0,0,33.0,-5.0,1
Arunachal Pradesh,Kurung Kumey,2025-03,93,536,629,0.1735074626865671,0.1478537360890302,1.8245987236511312,1,1,1,1,,,0
Arunachal Pradesh,Kurung Kumey,2025-04,107,467,574,0.2291220556745182,0.1864111498257839,1.6650551150647843,1,1,1,1,14.0,-69.0,1
Arunachal Pradesh,Kurung Kumey,2025-05,128,328,456,0.3902439024390244,0.2807017543859649,1.3227615548249854,1,0,0,0,21.0,-139.0,1
Arunachal Pradesh,Kurung Kumey,2025-06,88,201,289,0.4378109452736318,0.3044982698961938,0.8383291432991684,1,0,0,0,-40.0,-127.0,0
Arunachal Pradesh,Kurung Kumey,2025-07,178,308,486,0.577922077922078,0.3662551440329218,1.4097853413266292,1,0,0,0,90.0,107.0,0
Arunachal Pradesh,Kurung Kumey,2025-09,134,132,266,1.0151515151515151,0.5037593984962406,0.7716109069812415,0,0,0,0,-44.0,-176.0,0
Arunachal Pradesh,Kurung Kumey,2025-10,118,51,169,2.313725490196078,0.6982248520710059,0.4902339972925932,0,0,0,0,-16.0,-81.0,0
Arunachal Pradesh,Kurung Kumey,2025-11,312,50,362,6.24,0.861878453038674,1.0500870237865016,0,0,0,0,194.0,-1.0,1
Arunachal Pradesh,Kurung Kumey,2025-12,141,18,159,7.833333333333333,0.8867924528301887,0.461226068458712,0,0,0,0,-171.0,-32.0,0
Arunachal Pradesh,Leparada,2025-09,3,0,3,,1.0,0.00870237865016437,0,0,0,0,,,0
Arunachal Pradesh,Leparada,2025-10,14,1,15,14.0,0.9333333333333332,0.0435118932508218,0,0,1,0,11.0,1.0,0
Arunachal Pradesh,Leparada,2025-11,14,1,15,14.0,0.9333333333333332,0.0435118932508218,0,0,1,0,0.0,0.0,0
Arunachal Pradesh,Leparada,2025-12,3,0,3,,1.0,0.00870237865016437,0,0,0,0,-11.0,-1.0,0
Arunachal Pradesh,Lohit,2025-03,100,364,464,0.2747252747252747,0.2155172413793103,1.3459678978920904,1,0,1,1,,,0
Arunachal Pradesh,Lohit,2025-04,177,306,483,0.5784313725490197,0.3664596273291925,1.401082962676465,1,0,0,0,77.0,-58.0,1
Arunachal Pradesh,Lohit,2025-05,173,281,454,0.6156583629893239,0.381057268722467,1.3169599690582092,1,0,0,0,-4.0,-25.0,0
Arunachal Pradesh,Lohit,2025-06,116,270,386,0.4296296296296296,0.3005181347150259,1.119706052987817,1,0,0,0,-57.0,-11.0,0
Arunachal Pradesh,Lohit,2025-07,128,237,365,0.540084388185654,0.3506849315068493,1.058789402436666,1,0,0,0,12.0,-33.0,1
Arunachal Pradesh,Lohit,2025-09,141,175,316,0.8057142857142857,0.4462025316455696,0.9166505511506478,1,0,0,0,13.0,-62.0,1
Arunachal Pradesh,Lohit,2025-10,196,96,292,2.0416666666666665,0.6712328767123288,0.8470315219493327,0,0,0,0,55.0,-79.0,1
Arunachal Pradesh,Lohit,2025-11,317,100,417,3.17,0.7601918465227818,1.2096306323728483,0,0,0,0,121.0,4.0,0
Arunachal Pradesh,Lohit,2025-12,448,266,714,1.6842105263157894,0.6274509803921569,2.071166118739122,0,1,0,0,131.0,166.0,0
Arunachal Pradesh,Longding,2025-03,133,129,262,1.0310077519379846,0.5076335877862596,0.760007735447689,0,0,0,0,,,0
Arunachal Pradesh,Longding,2025-04,277,126,403,2.1984126984126986,0.6873449131513648,1.1690195320054149,0,0,0,0,144.0,-3.0,1
Arunachal Pradesh,Longding,2025-05,196,124,320,1.5806451612903225,0.6125,0.9282537226842004,0,0,0,0,-81.0,-2.0,0
Arunachal Pradesh,Longding,2025-06,141,136,277,1.036764705882353,0.5090252707581228,0.8035196286985109,0,0,0,0,-55.0,12.0,0
Arunachal Pradesh,Longding,2025-07,157,181,338,0.8674033149171271,0.4644970414201183,0.9804679945851864,1,0,1,1,16.0,45.0,0
Arunachal Pradesh,Longding,2025-09,224,109,333,2.055045871559633,0.6726726726726727,0.965964030168246,0,0,0,0,67.0,-72.0,1
Arunachal Pradesh,Longding,2025-10,123,46,169,2.6739130434782608,0.727810650887574,0.4902339972925932,0,0,0,0,-101.0,-63.0,0
Arunachal Pradesh,Longding,2025-11,258,64,322,4.03125,0.8012422360248447,0.9340553084509764,0,0,0,0,135.0,18.0,0
Arunachal Pradesh,Longding,2025-12,102,73,175,1.3972602739726028,0.5828571428571429,0.5076387545929221,0,0,0,0,-156.0,9.0,0
Arunachal Pradesh,Lower Dibang Valley,2025-03,80,117,197,0.6837606837606838,0.4060913705583756,0.5714561980274608,1,0,0,0,,,0
Arunachal Pradesh,Lower Dibang Valley,2025-04,111,67,178,1.6567164179104477,0.6235955056179775,0.5163411332430864,0,0,0,0,31.0,-50.0,1
Arunachal Pradesh,Lower Dibang Valley,2025-05,121,112,233,1.0803571428571428,0.51931330472103,0.6758847418294334,0,0,0,0,10.0,45.0,0
Arunachal Pradesh,Lower Dibang Valley,2025-06,118,113,231,1.0442477876106195,0.5108225108225108,0.6700831560626571,0,0,0,0,-3.0,1.0,0
Arunachal Pradesh,Lower Dibang Valley,2025-07,114,139,253,0.8201438848920863,0.4505928853754941,0.7339005994971959,1,0,0,0,-4.0,26.0,0
Arunachal Pradesh,Lower Dibang Valley,2025-09,96,81,177,1.1851851851851851,0.5423728813559322,0.5134403403596983,0,0,0,0,-18.0,-58.0,0
Arunachal Pradesh,Lower Dibang Valley,2025-10,270,77,347,3.5064935064935066,0.7780979827089337,1.0065751305356798,0,0,0,0,174.0,-4.0,1
Arunachal Pradesh,Lower Dibang Valley,2025-11,291,72,363,4.041666666666667,0.8016528925619835,1.0529878166698898,0,0,0,0,21.0,-5.0,1
Arunachal Pradesh,Lower Dibang Valley,2025-12,172,97,269,1.7731958762886595,0.6394052044609665,0.7803132856314059,0,0,0,0,-119.0,25.0,0
Arunachal Pradesh,Lower Siang,2025-03,26,12,38,2.1666666666666665,0.6842105263157895,0.1102301295687487,0,0,0,0,,,0
Arunachal Pradesh,Lower Siang,2025-05,12,10,22,1.2,0.5454545454545454,0.0638174434345387,0,0,0,0,-14.0,-2.0,0
Arunachal Pradesh,Lower Siang,2025-09,27,13,40,2.076923076923077,0.675,0.116031715335525,0,0,0,0,15.0,3.0,0
Arunachal Pradesh,Lower Siang,2025-10,87,9,96,9.666666666666666,0.90625,0.2784761168052601,0,0,0,0,60.0,-4.0,1
Arunachal Pradesh,Lower Siang,2025-11,182,7,189,26.0,0.9629629629629628,0.5482498549603558,0,0,0,0,95.0,-2.0,1
Arunachal Pradesh,Lower Siang,2025-12,25,3,28,8.333333333333334,0.8928571428571429,0.0812222007348675,0,0,0,0,-157.0,-4.0,0
Arunachal Pradesh,Lower Subansiri,2025-03,81,128,209,0.6328125,0.3875598086124402,0.6062657126281183,1,0,0,0,,,0
Arunachal Pradesh,Lower Subansiri,2025-04,169,178,347,0.949438202247191,0.4870317002881844,1.0065751305356798,0,0,0,0,88.0,50.0,0
Arunachal Pradesh,Lower Subansiri,2025-05,155,196,351,0.7908163265306123,0.4415954415954416,1.0181783020692323,1,0,1,1,-14.0,18.0,0
Arunachal Pradesh,Lower Subansiri,2025-06,108,129,237,0.8372093023255814,0.4556962025316455,0.6874879133629859,1,0,0,0,-47.0,-67.0,0
Arunachal Pradesh,Lower Subansiri,2025-07,340,188,528,1.8085106382978724,0.6439393939393939,1.5316186424289304,0,1,0,0,232.0,59.0,0
Arunachal Pradesh,Lower Subansiri,2025-09,180,116,296,1.5517241379310345,0.6081081081081081,0.8586346934828852,0,0,0,0,-160.0,-72.0,0
Arunachal Pradesh,Lower Subansiri,2025-10,280,96,376,2.9166666666666665,0.7446808510638298,1.0906981241539353,0,0,0,0,100.0,-20.0,1
Arunachal Pradesh,Lower Subansiri,2025-11,107,75,182,1.4266666666666667,0.5879120879120879,0.5279443047766389,0,0,0,0,-173.0,-21.0,0
Arunachal Pradesh,Lower Subansiri,2025-12,110,44,154,2.5,0.7142857142857143,0.4467221040417714,0,0,0,0,3.0,-31.0,1
Arunachal Pradesh,Namsai,2025-03,213,274,487,0.7773722627737226,0.4373716632443531,1.4126861342100174,1,0,0,0,,,0
Arunachal Pradesh,Namsai,2025-04,327,351,678,0.9316239316239316,0.4823008849557522,1.9667375749371492,0,1,0,0,114.0,77.0,0
Arunachal Pradesh,Namsai,2025-05,423,413,836,1.0242130750605327,0.5059808612440191,2.4250628505124734,0,1,1,0,96.0,62.0,0
Arunachal Pradesh,Namsai,2025-06,484,414,898,1.1690821256038648,0.5389755011135857,2.604912009282537,0,1,1,0,61.0,1.0,0
Arunachal Pradesh,Namsai,2025-07,321,411,732,0.781021897810219,0.4385245901639344,2.1233803906401083,1,1,1,1,-163.0,-3.0,0
Arunachal Pradesh,Namsai,2025-09,167,211,378,0.7914691943127962,0.4417989417989418,1.0964997099207117,1,0,0,0,-154.0,-200.0,0
Arunachal Pradesh,Namsai,2025-10,79,102,181,0.7745098039215687,0.43646408839779,0.5250435118932508,1,0,0,0,-88.0,-109.0,0
Arunachal Pradesh,Namsai,2025-11,965,111,1076,8.693693693693694,0.8968401486988847,3.121253142525624,0,1,0,0,886.0,9.0,0
Arunachal Pradesh,Namsai,2025-12,582,155,737,3.7548387096774194,0.7896879240162822,2.1378843550570488,0,1,0,0,-383.0,44.0,0
Arunachal Pradesh,Pakke Kessang,2025-03,12,6,18,2.0,0.6666666666666666,0.0522142719009862,0,0,0,0,,,0
Arunachal Pradesh,Pakke Kessang,2025-09,7,21,28,0.3333333333333333,0.25,0.0812222007348675,1,0,1,1,-5.0,15.0,0
Arunachal Pradesh,Pakke Kessang,2025-10,4,7,11,0.5714285714285714,0.3636363636363636,0.0319087217172693,1,0,0,0,-3.0,-14.0,0
Arunachal Pradesh,Pakke Kessang,2025-11,5,10,15,0.5,0.3333333333333333,0.0435118932508218,1,0,0,0,1.0,3.0,0
Arunachal Pradesh,Pakke Kessang,2025-12,2,0,2,,1.0,0.00580158576677625,0,0,0,0,-3.0,-10.0,0
Arunachal Pradesh,Papum Pare,2025-03,345,717,1062,0.4811715481171548,0.3248587570621469,3.08064204215819,1,1,0,0,,,0
Arunachal Pradesh,Papum Pare,2025-04,458,618,1076,0.7411003236245954,0.4256505576208178,3.121253142525624,1,1,0,0,113.0,-99.0,1
Arunachal Pradesh,Papum Pare,2025-05,496,687,1183,0.7219796215429404,0.41927303465765,3.431637981048153,1,1,0,0,38.0,69.0,0
Arunachal Pradesh,Papum Pare,2025-06,322,559,881,0.5760286225402504,0.3654937570942111,2.555598530264939,1,1,0,0,-174.0,-128.0,0
Arunachal Pradesh,Papum Pare,2025-07,789,643,1432,1.2270606531881805,0.5509776536312849,4.153935409011797,0,1,0,0,467.0,84.0,0
Arunachal Pradesh,Papum Pare,2025-09,968,409,1377,2.3667481662591685,0.7029774872912128,3.994391800425449,0,1,0,0,179.0,-234.0,1
Arunachal Pradesh,Papum Pare,2025-10,513,275,788,1.8654545454545453,0.6510152284263959,2.285824792109844,0,1,0,0,-455.0,-134.0,0
Arunachal Pradesh,Papum Pare,2025-11,376,309,685,1.2168284789644013,0.5489051094890511,1.9870431251208664,0,1,0,0,-137.0,34.0,0
Arunachal Pradesh,Papum Pare,2025-12,568,207,775,2.743961352657005,0.7329032258064516,2.248114484625797,0,1,0,0,192.0,-102.0,1
Arunachal Pradesh,Shi-yomi,2025-03,14,12,26,1.1666666666666667,0.5384615384615384,0.0754206149680912,0,0,0,0,,,0
Arunachal Pradesh,Shi-yomi,2025-04,17,15,32,1.1333333333333333,0.53125,0.09282537226842,0,0,0,0,3.0,3.0,0
Arunachal Pradesh,Shi-yomi,2025-05,26,14,40,1.8571428571428568,0.65,0.116031715335525,0,0,0,0,9.0,-1.0,1
Arunachal Pradesh,Shi-yomi,2025-06,20,14,34,1.4285714285714286,0.5882352941176471,0.0986269580351962,0,0,0,0,-6.0,0.0,0
Arunachal Pradesh,Shi-yomi,2025-07,11,37,48,0.2972972972972973,0.2291666666666666,0.13923805840263,1,0,0,0,-9.0,23.0,0
Arunachal Pradesh,Shi-yomi,2025-09,11,13,24,0.8461538461538461,0.4583333333333333,0.069619029201315,1,0,0,0,0.0,-24.0,0
Arunachal Pradesh,Shi-yomi,2025-10,12,7,19,1.7142857142857142,0.631578947368421,0.0551150647843743,0,0,0,0,1.0,-6.0,1
Arunachal Pradesh,Shi-yomi,2025-11,66,167,233,0.3952095808383233,0.2832618025751073,0.6758847418294334,1,0,1,1,54.0,160.0,0
Arunachal Pradesh,Shi-yomi,2025-12,33,40,73,0.825,0.4520547945205479,0.2117578804873331,1,0,0,0,-33.0,-127.0,0
Arunachal Pradesh,Siang,2025-03,54,63,117,0.8571428571428571,0.4615384615384615,0.3393927673564107,1,0,0,0,,,0
Arunachal Pradesh,Siang,2025-04,107,49,156,2.183673469387755,0.6858974358974359,0.4525236898085476,0,0,0,0,53.0,-14.0,1
Arunachal Pradesh,Siang,2025-05,100,64,164,1.5625,0.6097560975609756,0.4757300328756526,0,0,0,0,-7.0,15.0,0
Arunachal Pradesh,Siang,2025-06,76,53,129,1.4339622641509433,0.5891472868217055,0.3742022819570682,0,0,0,0,-24.0,-11.0,0
Arunachal Pradesh,Siang,2025-07,65,91,156,0.7142857142857143,0.4166666666666667,0.4525236898085476,1,0,1,1,-11.0,38.0,0
Arunachal Pradesh,Siang,2025-09,105,26,131,4.038461538461538,0.8015267175572519,0.3800038677238445,0,0,0,0,40.0,-65.0,1
Arunachal Pradesh,Siang,2025-10,48,23,71,2.0869565217391304,0.676056338028169,0.2059562947205569,0,0,0,0,-57.0,-3.0,0
Arunachal Pradesh,Siang,2025-11,191,27,218,7.074074074074074,0.8761467889908257,0.6323728485786114,0,0,0,0,143.0,4.0,0
Arunachal Pradesh,Siang,2025-12,134,33,167,4.0606060606060606,0.8023952095808383,0.484432411525817,0,0,0,0,-57.0,6.0,0
Arunachal Pradesh,Tawang,2025-03,120,78,198,1.5384615384615383,0.6060606060606061,0.5743569909108489,0,0,0,0,,,0
Arunachal Pradesh,Tawang,2025-04,153,118,271,1.2966101694915255,0.5645756457564576,0.7861148713981821,0,0,1,0,33.0,40.0,0
Arunachal Pradesh,Tawang,2025-05,149,78,227,1.9102564102564104,0.6563876651982379,0.6584799845291046,0,0,0,0,-4.0,-40.0,0
Arunachal Pradesh,Tawang,2025-06,99,70,169,1.4142857142857144,0.5857988165680473,0.4902339972925932,0,0,0,0,-50.0,-8.0,0
Arunachal Pradesh,Tawang,2025-07,79,88,167,0.8977272727272727,0.4730538922155688,0.484432411525817,0,0,0,0,-20.0,18.0,0
Arunachal Pradesh,Tawang,2025-09,114,47,161,2.425531914893617,0.7080745341614907,0.4670276542254882,0,0,0,0,35.0,-41.0,1
Arunachal Pradesh,Tawang,2025-10,450,43,493,10.465116279069768,0.9127789046653144,1.430090891510346,0,0,0,0,336.0,-4.0,1
Arunachal Pradesh,Tawang,2025-11,376,29,405,12.96551724137931,0.928395061728395,1.174821117772191,0,0,0,0,-74.0,-14.0,0
Arunachal Pradesh,Tawang,2025-12,326,47,373,6.9361702127659575,0.8739946380697051,1.081995745503771,0,0,0,0,-50.0,18.0,0
Arunachal Pradesh,Tirap,2025-03,61,41,102,1.4878048780487805,0.5980392156862745,0.2958808741055888,0,0,0,0,,,0
Arunachal Pradesh,Tirap,2025-04,107,49,156,2.183673469387755,0.6858974358974359,0.4525236898085476,0,0,0,0,46.0,8.0,0
Arunachal Pradesh,Tirap,2025-05,120,69,189,1.7391304347826086,0.6349206349206349,0.5482498549603558,0,0,0,0,13.0,20.0,0
Arunachal Pradesh,Tirap,2025-06,100,88,188,1.1363636363636365,0.5319148936170213,0.5453490620769677,0,0,1,0,-20.0,19.0,0
Arunachal Pradesh,Tirap,2025-07,79,90,169,0.8777777777777778,0.4674556213017751,0.4902339972925932,0,0,1,0,-21.0,2.0,0
Arunachal Pradesh,Tirap,2025-09,115,57,172,2.017543859649123,0.6686046511627907,0.4989363759427577,0,0,0,0,36.0,-33.0,1
Arunachal Pradesh,Tirap,2025-10,447,44,491,10.159090909090908,0.910386965376782,1.42428930574357,0,0,0,0,332.0,-13.0,1
Arunachal Pradesh,Tirap,2025-11,254,40,294,6.35,0.8639455782312925,0.852833107716109,0,0,0,0,-193.0,-4.0,0
Arunachal Pradesh,Tirap,2025-12,88,44,132,2.0,0.6666666666666666,0.3829046606072326,0,0,0,0,-166.0,4.0,0
Arunachal Pradesh,Upper Siang,2025-03,53,72,125,0.7361111111111112,0.424,0.3625991104235157,1,0,0,0,,,0
Arunachal Pradesh,Upper Siang,2025-04,112,67,179,1.671641791044776,0.6256983240223464,0.5192419261264746,0,0,0,0,59.0,-5.0,1
Arunachal Pradesh,Upper Siang,2025-05,116,105,221,1.1047619047619048,0.5248868778280543,0.6410752272287759,0,0,1,0,4.0,38.0,0
Arunachal Pradesh,Upper Siang,2025-06,59,50,109,1.18,0.5412844036697247,0.3161864242893057,0,0,0,0,-57.0,-55.0,0
Arunachal Pradesh,Upper Siang,2025-07,47,63,110,0.746031746031746,0.4272727272727272,0.3190872171726938,1,0,0,0,-12.0,13.0,0
Arunachal Pradesh,Upper Siang,2025-09,65,53,118,1.2264150943396226,0.5508474576271186,0.3422935602397988,0,0,0,0,18.0,-10.0,1
Arunachal Pradesh,Upper Siang,2025-10,137,55,192,2.4909090909090907,0.7135416666666666,0.5569522336105202,0,0,0,0,72.0,2.0,0
Arunachal Pradesh,Upper Siang,2025-11,251,55,306,4.563636363636364,0.8202614379084967,0.8876426223167665,0,0,0,0,114.0,0.0,1
Arunachal Pradesh,Upper Siang,2025-12,395,41,436,9.634146341463415,0.9059633027522936,1.2647456971572228,0,0,0,0,144.0,-14.0,1
Arunachal Pradesh,Upper Subansiri,2025-03,217,342,559,0.6345029239766082,0.3881932021466905,1.6215432218139625,1,1,1,1,,,0
Arunachal Pradesh,Upper Subansiri,2025-04,336,230,566,1.4608695652173913,0.5936395759717314,1.641848771997679,0,1,0,0,119.0,-112.0,1
Arunachal Pradesh,Upper Subansiri,2025-05,271,288,559,0.9409722222222222,0.4847942754919499,1.6215432218139625,0,1,1,0,-65.0,58.0,0
Arunachal Pradesh,Upper Subansiri,2025-06,260,219,479,1.187214611872146,0.5427974947807933,1.3894797911429124,0,0,0,0,-11.0,-69.0,0
Arunachal Pradesh,Upper Subansiri,2025-07,293,230,523,1.2739130434782608,0.5602294455066922,1.51711467801199,0,1,0,0,33.0,11.0,0
Arunachal Pradesh,Upper Subansiri,2025-09,202,131,333,1.5419847328244274,0.6066066066066066,0.965964030168246,0,0,0,0,-91.0,-99.0,0
Arunachal Pradesh,Upper Subansiri,2025-10,205,77,282,2.6623376623376624,0.7269503546099291,0.8180235931154515,0,0,0,0,3.0,-54.0,1
Arunachal Pradesh,Upper Subansiri,2025-11,475,68,543,6.985294117647059,0.8747697974217311,1.5751305356797525,0,1,0,0,270.0,-9.0,1
Arunachal Pradesh,Upper Subansiri,2025-12,203,119,322,1.7058823529411764,0.6304347826086957,0.9340553084509764,0,0,0,0,-272.0,51.0,0
Arunachal Pradesh,West Kameng,2025-03,188,425,613,0.4423529411764706,0.3066884176182708,1.7781860375169212,1,1,0,0,,,0
Arunachal Pradesh,West Kameng,2025-04,330,637,967,0.5180533751962323,0.3412616339193381,2.8050667182363176,1,1,1,1,142.0,212.0,0
Arunachal Pradesh,West Kameng,2025-05,243,438,681,0.5547945205479452,0.3568281938325991,1.9754399535873135,1,1,0,0,-87.0,-199.0,0
Arunachal Pradesh,West Kameng,2025-06,279,489,768,0.5705521472392638,0.36328125,2.2278089344420806,1,1,0,0,36.0,51.0,0
Arunachal Pradesh,West Kameng,2025-07,203,388,591,0.5231958762886598,0.3434856175972927,1.7143685940823823,1,1,0,0,-76.0,-101.0,0
Arunachal Pradesh,West Kameng,2025-09,369,196,565,1.8826530612244896,0.6530973451327433,1.6389479791142911,0,1,0,0,166.0,-192.0,1
Arunachal Pradesh,West Kameng,2025-10,283,161,444,1.7577639751552796,0.6373873873873874,1.287952040224328,0,0,0,0,-86.0,-35.0,0
Arunachal Pradesh,West Kameng,2025-11,256,231,487,1.1082251082251082,0.5256673511293635,1.4126861342100174,0,0,0,0,-27.0,70.0,0
Arunachal Pradesh,West Kameng,2025-12,816,240,1056,3.4,0.7727272727272727,3.063237284857861,0,1,0,0,560.0,9.0,0
Arunachal Pradesh,West Siang,2025-03,212,175,387,1.2114285714285715,0.5478036175710594,1.1226068458712049,0,0,0,0,,,0
Arunachal Pradesh,West Siang,2025-04,250,157,407,1.5923566878980893,0.6142506142506142,1.1806227035389674,0,0,0,0,38.0,-18.0,1
Arunachal Pradesh,West Siang,2025-05,300,182,482,1.6483516483516485,0.6224066390041494,1.3981821697930767,0,0,0,0,50.0,25.0,0
Arunachal Pradesh,West Siang,2025-06,236,185,421,1.2756756756756755,0.5605700712589073,1.221233803906401,0,0,0,0,-64.0,3.0,0
Arunachal Pradesh,West Siang,2025-07,233,202,435,1.1534653465346534,0.535632183908046,1.2618449042738349,0,0,0,0,-3.0,17.0,0
Arunachal Pradesh,West Siang,2025-09,476,131,607,3.633587786259542,0.7841845140032949,1.7607812802165923,0,1,0,0,243.0,-71.0,1
Arunachal Pradesh,West Siang,2025-10,300,106,406,2.830188679245283,0.7389162561576355,1.1777219106555792,0,0,0,0,-176.0,-25.0,0
Arunachal Pradesh,West Siang,2025-11,1100,80,1180,13.75,0.9322033898305084,3.4229356023979887,0,1,0,0,800.0,-26.0,1
Arunachal Pradesh,West Siang,2025-12,238,83,321,2.8674698795180724,0.7414330218068536,0.9311545155675884,0,0,0,0,-862.0,3.0,0
Assam,Bajali,2025-09,2,7,9,0.2857142857142857,0.2222222222222222,0.00286652786851215,1,0,1,1,,,0
Assam,Bajali,2025-10,0,3,3,0.0,0.0,0.00095550928950405,1,0,0,0,-2.0,-4.0,0
Assam,Bajali,2025-11,1,2,3,0.5,0.3333333333333333,0.00095550928950405,1,0,0,0,1.0,-1.0,1
Assam,Bajali,2025-12,3,5,8,0.6,0.375,0.0025480247720108,1,0,0,0,2.0,3.0,0
Assam,Baksa,2025-03,1333,527,1860,2.5294117647058822,0.7166666666666667,0.5924157594925116,0,0,0,0,,,0
Assam,Baksa,2025-04,2598,474,3072,5.481012658227848,0.845703125,0.9784415124521482,0,0,0,0,1265.0,-53.0,1
Assam,Baksa,2025-05,1398,596,1994,2.3456375838926173,0.7011033099297894,0.6350951744236926,0,0,0,0,-1200.0,122.0,0
Assam,Baksa,2025-06,687,453,1140,1.5165562913907285,0.6026315789473684,0.3630935300115394,0,0,0,0,-711.0,-143.0,0
Assam,Baksa,2025-07,871,527,1398,1.6527514231499052,0.623032904148784,0.4452673289088877,0,0,0,0,184.0,74.0,0
Assam,Baksa,2025-09,805,335,1140,2.4029850746268657,0.706140350877193,0.3630935300115394,0,0,0,0,-66.0,-192.0,0
Assam,Baksa,2025-10,759,1359,2118,0.5584988962472406,0.358356940509915,0.67458955838986,1,0,1,1,-46.0,1024.0,0
Assam,Baksa,2025-11,1796,597,2393,3.0083752093802345,0.7505223568742164,0.7621779099277313,0,0,0,0,1037.0,-762.0,1
Assam,Baksa,2025-12,1355,985,2340,1.3756345177664977,0.5790598290598291,0.7452972458131597,0,0,1,0,-441.0,388.0,0
Assam,Barpeta,2025-03,8751,2053,10804,4.262542620555285,0.8099777860051832,3.441107454600589,0,1,0,0,,,0
Assam,Barpeta,2025-04,9902,2067,11969,4.7905176584421865,0.8273038683265102,3.812163562024662,0,1,0,0,1151.0,14.0,0
Assam,Barpeta,2025-05,7973,2201,10174,3.622444343480237,0.7836642421859642,3.240450503804738,0,1,0,0,-1929.0,134.0,0
Assam,Barpeta,2025-06,5269,2303,7572,2.2878853669127226,0.6958531431590068,2.4117054467082246,0,1,0,0,-2704.0,102.0,0
Assam,Barpeta,2025-07,3080,2135,5215,1.4426229508196722,0.5906040268456376,1.660993648254542,0,1,0,0,-2189.0,-168.0,0
Assam,Barpeta,2025-09,7988,2103,10091,3.798383262006657,0.791596472103855,3.214014746795126,0,1,0,0,4908.0,-32.0,1
Assam,Barpeta,2025-10,10294,7012,17306,1.4680547632629777,0.5948226048769213,5.512014588052368,0,1,1,0,2306.0,4909.0,0
Assam,Barpeta,2025-11,8078,3943,12021,2.0486938879026124,0.6719906829714666,3.828725723042732,0,1,0,0,-2216.0,-3069.0,0
Assam,Barpeta,2025-12,5057,5212,10269,0.9702609363008442,0.4924530139254066,3.2707082979723663,1,1,1,1,-3021.0,1269.0,0
Assam,Biswanath,2025-03,524,317,841,1.6529968454258674,0.6230677764565993,0.2678611041576356,0,0,0,0,,,0
Assam,Biswanath,2025-04,1463,323,1786,4.529411764705882,0.8191489361702128,0.5688465303514116,0,0,0,0,939.0,6.0,0
Assam,Biswanath,2025-05,720,316,1036,2.278481012658228,0.694980694980695,0.3299692079753989,0,0,0,0,-743.0,-7.0,0
Assam,Biswanath,2025-06,448,307,755,1.4592833876221498,0.5933774834437087,0.2404698378585195,0,0,0,0,-272.0,-9.0,0
Assam,Biswanath,2025-07,395,286,681,1.381118881118881,0.580029368575624,0.2169006087174195,0,0,0,0,-53.0,-21.0,0
Assam,Biswanath,2025-09,693,208,901,3.331730769230769,0.7691453940066593,0.2869712899477166,0,0,0,0,298.0,-78.0,1
Assam,Biswanath,2025-10,397,935,1332,0.4245989304812834,0.2980480480480481,0.4242461245397986,1,0,1,1,-296.0,727.0,0
Assam,Biswanath,2025-11,584,274,858,2.1313868613138687,0.6806526806526807,0.2732756567981586,0,0,0,0,187.0,-661.0,1
Assam,Biswanath,2025-12,935,423,1358,2.210401891252955,0.6885125184094256,0.4325272050488337,0,0,0,0,351.0,149.0,0
Assam,Bongaigaon,2025-03,3011,1170,4181,2.5735042735042737,0.7201626405166228,1.3316614464721457,0,0,0,0,,,0
Assam,Bongaigaon,2025-04,4512,1135,5647,3.975330396475771,0.7990083230033647,1.7985869859431252,0,1,0,0,1501.0,-35.0,1
Assam,Bongaigaon,2025-05,2359,946,3305,2.4936575052854124,0.7137670196671709,1.052652733936963,0,0,0,0,-2153.0,-189.0,0
