state,district,month,bio_age_5_17,bio_age_17_plus
Bihar,Nalanda,2025-10,2897,3675
Bihar,Nalanda,2025-11,3518,5378
Bihar,Nalanda,2025-12,7882,7517
Bihar,Nawada,2025-03,6780,9577
Bihar,Nawada,2025-04,6580,6134
Bihar,Nawada,2025-05,4894,4112
Bihar,Nawada,2025-06,4748,4782
Bihar,Nawada,2025-07,4425,6881
Bihar,Nawada,2025-09,2591,4053
Bihar,Nawada,2025-10,1997,2351
Bihar,Nawada,2025-11,2260,3383
Bihar,Nawada,2025-12,4172,6525
Bihar,Pashchim Champaran,2025-04,11,30
Bihar,Pashchim Champaran,2025-09,10,51
Bihar,Pashchim Champaran,2025-10,7,52
Bihar,Pashchim Champaran,2025-11,4,76
Bihar,Pashchim Champaran,2025-12,8,104
Bihar,Patna,2025-03,11916,18174
Bihar,Patna,2025-04,17785,15295
Bihar,Patna,2025-05,13057,12157
Bihar,Patna,2025-06,11445,12409
Bihar,Patna,2025-07,12172,17511
Bihar,Patna,2025-09,6475,9253
Bihar,Patna,2025-10,4169,6432
Bihar,Patna,2025-11,6557,10385
Bihar,Patna,2025-12,9746,14076
Bihar,Purba Champaran,2025-09,6,38
Bihar,Purba Champaran,2025-10,6,42
Bihar,Purba Champaran,2025-11,6,71
Bihar,Purba Champaran,2025-12,9,86
Bihar,Purnea,2025-03,112,435
Bihar,Purnea,2025-04,183,475
Bihar,Purnea,2025-05,127,385
Bihar,Purnea,2025-06,164,352
Bihar,Purnea,2025-07,178,598
Bihar,Purnea,2025-09,62,542
Bihar,Purnea,2025-10,47,300
Bihar,Purnea,2025-11,63,432
Bihar,Purnea,2025-12,91,408
Bihar,Purnia,2025-03,13497,17552
Bihar,Purnia,2025-04,19935,17607
Bihar,Purnia,2025-05,11549,12253
Bihar,Purnia,2025-06,18137,12252
Bihar,Purnia,2025-07,17607,17128
Bihar,Purnia,2025-09,6550,12153
Bihar,Purnia,2025-10,3866,7553
Bihar,Purnia,2025-11,4603,10085
Bihar,Purnia,2025-12,10289,15935
Bihar,Rohtas,2025-03,7472,9366
Bihar,Rohtas,2025-04,8429,7584
Bihar,Rohtas,2025-05,5855,6101
Bihar,Rohtas,2025-06,5400,6526
Bihar,Rohtas,2025-07,5688,8130
Bihar,Rohtas,2025-09,3572,5543
Bihar,Rohtas,2025-10,2845,3740
Bihar,Rohtas,2025-11,4520,6876
Bihar,Rohtas,2025-12,6273,7790
Bihar,Saharsa,2025-03,6272,12430
Bihar,Saharsa,2025-04,8078,11399
Bihar,Saharsa,2025-05,5638,7734
Bihar,Saharsa,2025-06,3919,5634
Bihar,Saharsa,2025-07,4688,9027
Bihar,Saharsa,2025-09,3302,8873
Bihar,Saharsa,2025-10,2388,5448
Bihar,Saharsa,2025-11,3120,7178
Bihar,Saharsa,2025-12,5007,9731
Bihar,Samastipur,2025-03,13667,19484
Bihar,Samastipur,2025-04,21204,16623
Bihar,Samastipur,2025-05,11934,11062
Bihar,Samastipur,2025-06,9322,9529
Bihar,Samastipur,2025-07,10278,13172
Bihar,Samastipur,2025-09,5382,7445
Bihar,Samastipur,2025-10,3917,5163
Bihar,Samastipur,2025-11,6529,9460
Bihar,Samastipur,2025-12,10928,15066
Bihar,Samstipur,2025-09,4,52
Bihar,Samstipur,2025-10,1,25
Bihar,Samstipur,2025-11,3,43
Bihar,Samstipur,2025-12,5,62
Bihar,Saran,2025-03,7779,13089
Bihar,Saran,2025-04,9485,10504
Bihar,Saran,2025-05,8390,8257
Bihar,Saran,2025-06,7037,8676
Bihar,Saran,2025-07,8057,12032
Bihar,Saran,2025-09,4302,6750
Bihar,Saran,2025-10,3854,5371
Bihar,Saran,2025-11,5250,8274
Bihar,Saran,2025-12,8872,12524
Bihar,Sheikhpura,2025-03,1885,3455
Bihar,Sheikhpura,2025-04,2622,3054
Bihar,Sheikhpura,2025-05,1828,2215
Bihar,Sheikhpura,2025-06,1830,2314
Bihar,Sheikhpura,2025-07,1573,3081
Bihar,Sheikhpura,2025-09,2400,2346
Bihar,Sheikhpura,2025-10,1178,1635
Bihar,Sheikhpura,2025-11,1427,2469
Bihar,Sheikhpura,2025-12,2141,2970
Bihar,Sheikpura,2025-09,2,39
Bihar,Sheikpura,2025-10,0,22
Bihar,Sheikpura,2025-11,2,28
Bihar,Sheikpura,2025-12,1,39
Bihar,Sheohar,2025-03,1803,3248
Bihar,Sheohar,2025-04,2342,2979
Bihar,Sheohar,2025-05,1621,2038
Bihar,Sheohar,2025-06,1427,1825
Bihar,Sheohar,2025-07,1376,2276
Bihar,Sheohar,2025-09,944,1710
Bihar,Sheohar,2025-10,634,1093
Bihar,Sheohar,2025-11,998,1651
Bihar,Sheohar,2025-12,1841,2876
Bihar,Sitamarhi,2025-03,11896,16604
Bihar,Sitamarhi,2025-04,14036,13191
Bihar,Sitamarhi,2025-05,11734,9727
Bihar,Sitamarhi,2025-06,9950,9291
Bihar,Sitamarhi,2025-07,11169,12499
Bihar,Sitamarhi,2025-09,5065,7256
Bihar,Sitamarhi,2025-10,3918,5125
Bihar,Sitamarhi,2025-11,6233,9231
Bihar,Sitamarhi,2025-12,10924,14151
Bihar,Siwan,2025-03,6752,10438
Bihar,Siwan,2025-04,8163,8502
Bihar,Siwan,2025-05,7028,7021
Bihar,Siwan,2025-06,5849,7052
Bihar,Siwan,2025-07,6976,10503
Bihar,Siwan,2025-09,3744,5560
Bihar,Siwan,2025-10,3003,5243
Bihar,Siwan,2025-11,4348,7817
Bihar,Siwan,2025-12,7044,10761
Bihar,Supaul,2025-03,6821,11721
Bihar,Supaul,2025-04,9887,10713
Bihar,Supaul,2025-05,6550,7043
Bihar,Supaul,2025-06,4402,5428
Bihar,Supaul,2025-07,4066,6981
Bihar,Supaul,2025-09,2773,4481
Bihar,Supaul,2025-10,2992,4902
Bihar,Supaul,2025-11,3127,5618
Bihar,Supaul,2025-12,6405,8460
Bihar,Vaishali,2025-03,9704,16175
Bihar,Vaishali,2025-04,14309,14410
Bihar,Vaishali,2025-05,10356,10497
Bihar,Vaishali,2025-06,7408,9470
Bihar,Vaishali,2025-07,7247,11784
Bihar,Vaishali,2025-09,5091,7808
Bihar,Vaishali,2025-10,3740,5084
Bihar,Vaishali,2025-11,5113,7783
Bihar,Vaishali,2025-12,9330,12851
Bihar,West Champaran,2025-03,9731,15377
Bihar,West Champaran,2025-04,13858,12321
Bihar,West Champaran,2025-05,9994,8794
Bihar,West Champaran,2025-06,8087,8886
Bihar,West Champaran,2025-07,9279,11418
Bihar,West Champaran,2025-09,4446,6244
Bihar,West Champaran,2025-10,3730,5318
Bihar,West Champaran,2025-11,5295,8406
Bihar,West Champaran,2025-12,11047,14586
Chandigarh,Chandigarh,2025-03,3053,3377
Chandigarh,Chandigarh,2025-04,4587,3334
Chandigarh,Chandigarh,2025-05,3424,3142
Chandigarh,Chandigarh,2025-06,2184,3046
Chandigarh,Chandigarh,2025-07,27837,4710
Chandigarh,Chandigarh,2025-09,2268,2040
Chandigarh,Chandigarh,2025-10,1539,1130
Chandigarh,Chandigarh,2025-11,2098,2068
Chandigarh,Chandigarh,2025-12,2176,2449
Chandigarh,Mohali,2025-10,1,0
Chandigarh,Mohali,2025-11,0,2
Chandigarh,Mohali,2025-12,1,2
Chandigarh,Rupnagar,2025-09,1,3
Chandigarh,Rupnagar,2025-10,1,0
Chandigarh,Rupnagar,2025-11,0,3
Chandigarh,Rupnagar,2025-12,1,5
Chhatisgarh,Raipur,2025-09,0,1
Chhatisgarh,Raipur,2025-11,2,0
Chhatisgarh,Raipur,2025-12,0,2
Chhattisgarh,Balod,2025-03,982,4832
Chhattisgarh,Balod,2025-04,1467,5641
Chhattisgarh,Balod,2025-05,1759,7096
Chhattisgarh,Balod,2025-06,2672,9224
Chhattisgarh,Balod,2025-07,2456,9232
Chhattisgarh,Balod,2025-09,1198,5646
Chhattisgarh,Balod,2025-10,1261,2110
Chhattisgarh,Balod,2025-11,3484,4560
Chhattisgarh,Balod,2025-12,11562,6033
Chhattisgarh,Baloda Bazar,2025-03,1619,5092
Chhattisgarh,Baloda Bazar,2025-04,2580,15415
Chhattisgarh,Baloda Bazar,2025-05,3113,13104
Chhattisgarh,Baloda Bazar,2025-06,5672,14536
Chhattisgarh,Baloda Bazar,2025-07,4728,12257
Chhattisgarh,Baloda Bazar,2025-09,2429,5422
Chhattisgarh,Baloda Bazar,2025-10,4432,4902
Chhattisgarh,Baloda Bazar,2025-11,10027,7021
Chhattisgarh,Baloda Bazar,2025-12,19091,9307
Chhattisgarh,Balrampur,2025-03,522,1411
Chhattisgarh,Balrampur,2025-04,1064,4519
Chhattisgarh,Balrampur,2025-05,1018,3547
Chhattisgarh,Balrampur,2025-06,1861,5749
Chhattisgarh,Balrampur,2025-07,1732,5088
Chhattisgarh,Balrampur,2025-09,1234,3523
Chhattisgarh,Balrampur,2025-10,1383,1675
Chhattisgarh,Balrampur,2025-11,3202,2973
Chhattisgarh,Balrampur,2025-12,8097,3645
Chhattisgarh,Bastar,2025-03,990,4272
Chhattisgarh,Bastar,2025-04,1359,7487
Chhattisgarh,Bastar,2025-05,1610,7715
Chhattisgarh,Bastar,2025-06,2758,9334
Chhattisgarh,Bastar,2025-07,2610,11304
Chhattisgarh,Bastar,2025-09,1843,8185
Chhattisgarh,Bastar,2025-10,1819,3978
Chhattisgarh,Bastar,2025-11,3945,4663
Chhattisgarh,Bastar,2025-12,10714,9798
Chhattisgarh,Bemetara,2025-03,1030,7139
Chhattisgarh,Bemetara,2025-04,1392,7909
Chhattisgarh,Bemetara,2025-05,2455,13382
Chhattisgarh,Bemetara,2025-06,3562,13006
Chhattisgarh,Bemetara,2025-07,3089,10896
Chhattisgarh,Bemetara,2025-09,1276,5340
Chhattisgarh,Bemetara,2025-10,1887,3126
Chhattisgarh,Bemetara,2025-11,4639,7303
Chhattisgarh,Bemetara,2025-12,15156,9123
Chhattisgarh,Bijapur,2025-03,1452,1742
Chhattisgarh,Bijapur,2025-04,1550,1985
Chhattisgarh,Bijapur,2025-05,1013,1573
Chhattisgarh,Bijapur,2025-06,1061,2280
Chhattisgarh,Bijapur,2025-07,1001,2587
Chhattisgarh,Bijapur,2025-09,601,1629
Chhattisgarh,Bijapur,2025-10,613,1023
Chhattisgarh,Bijapur,2025-11,1245,1375
Chhattisgarh,Bijapur,2025-12,2221,2933
Chhattisgarh,Bilaspur,2025-03,2414,9589
Chhattisgarh,Bilaspur,2025-04,3452,20010
Chhattisgarh,Bilaspur,2025-05,3368,16548
Chhattisgarh,Bilaspur,2025-06,5831,17701
Chhattisgarh,Bilaspur,2025-07,6580,19521
Chhattisgarh,Bilaspur,2025-09,2846,8739
Chhattisgarh,Bilaspur,2025-10,7557,7470
Chhattisgarh,Bilaspur,2025-11,12693,12786
Chhattisgarh,Bilaspur,2025-12,22664,15268
Chhattisgarh,Dakshin Bastar Dantewada,2025-03,439,1084
Chhattisgarh,Dakshin Bastar Dantewada,2025-04,539,1337
Chhattisgarh,Dakshin Bastar Dantewada,2025-05,661,1609
Chhattisgarh,Dakshin Bastar Dantewada,2025-06,893,3014
Chhattisgarh,Dakshin Bastar Dantewada,2025-07,1137,5118
Chhattisgarh,Dakshin Bastar Dantewada,2025-09,889,2054
Chhattisgarh,Dakshin Bastar Dantewada,2025-10,528,951
Chhattisgarh,Dakshin Bastar Dantewada,2025-11,838,1434
Chhattisgarh,Dakshin Bastar Dantewada,2025-12,2140,2546
Chhattisgarh,Dantewada,2025-03,189,525
Chhattisgarh,Dantewada,2025-04,188,600
Chhattisgarh,Dantewada,2025-05,357,875
Chhattisgarh,Dantewada,2025-06,559,1992
Chhattisgarh,Dantewada,2025-07,1039,4922
Chhattisgarh,Dantewada,2025-09,766,1581
Chhattisgarh,Dantewada,2025-10,386,557
Chhattisgarh,Dantewada,2025-11,701,1024
Chhattisgarh,Dantewada,2025-12,1142,1525
Chhattisgarh,Dhamtari,2025-03,748,5784
Chhattisgarh,Dhamtari,2025-04,1473,9230
Chhattisgarh,Dhamtari,2025-05,1515,8986
Chhattisgarh,Dhamtari,2025-06,2370,10224
Chhattisgarh,Dhamtari,2025-07,1901,7728
Chhattisgarh,Dhamtari,2025-09,1081,5226
Chhattisgarh,Dhamtari,2025-10,2657,3280
Chhattisgarh,Dhamtari,2025-11,5671,5820
Chhattisgarh,Dhamtari,2025-12,9410,7174
Chhattisgarh,Durg,2025-03,2548,10749
Chhattisgarh,Durg,2025-04,3606,15585
Chhattisgarh,Durg,2025-05,3422,15801
Chhattisgarh,Durg,2025-06,4720,14888
Chhattisgarh,Durg,2025-07,5547,14448
Chhattisgarh,Durg,2025-09,5577,8203
Chhattisgarh,Durg,2025-10,3409,3024
Chhattisgarh,Durg,2025-11,28687,7755
Chhattisgarh,Durg,2025-12,19367,12515
Chhattisgarh,Gariyaband,2025-03,471,1694
Chhattisgarh,Gariyaband,2025-04,749,5973
Chhattisgarh,Gariyaband,2025-05,768,4069
Chhattisgarh,Gariyaband,2025-06,1400,5010
Chhattisgarh,Gariyaband,2025-07,1284,4079
Chhattisgarh,Gariyaband,2025-09,614,3353
Chhattisgarh,Gariyaband,2025-10,1044,2906
Chhattisgarh,Gariyaband,2025-11,2034,4641
Chhattisgarh,Gariyaband,2025-12,8519,3480
Chhattisgarh,Gaurela-pendra-marwahi,2025-03,11,105
Chhattisgarh,Gaurela-pendra-marwahi,2025-04,51,423
Chhattisgarh,Gaurela-pendra-marwahi,2025-05,63,339
Chhattisgarh,Gaurela-pendra-marwahi,2025-06,86,317
Chhattisgarh,Gaurela-pendra-marwahi,2025-07,54,196
Chhattisgarh,Gaurela-pendra-marwahi,2025-09,23,59
Chhattisgarh,Gaurela-pendra-marwahi,2025-10,78,44
Chhattisgarh,Gaurela-pendra-marwahi,2025-11,157,51
Chhattisgarh,Gaurela-pendra-marwahi,2025-12,156,76
Chhattisgarh,Janjgir - Champa,2025-09,1,35
Chhattisgarh,Janjgir - Champa,2025-10,0,26
Chhattisgarh,Janjgir - Champa,2025-11,3,43
Chhattisgarh,Janjgir - Champa,2025-12,1,91
Chhattisgarh,Janjgir Champa,2025-09,1,31
Chhattisgarh,Janjgir Champa,2025-10,3,30
Chhattisgarh,Janjgir Champa,2025-11,6,47
Chhattisgarh,Janjgir Champa,2025-12,11,63
Chhattisgarh,Janjgir-champa,2025-03,2728,10158
Chhattisgarh,Janjgir-champa,2025-04,3329,20749
Chhattisgarh,Janjgir-champa,2025-05,2831,13587
Chhattisgarh,Janjgir-champa,2025-06,5174,16117
Chhattisgarh,Janjgir-champa,2025-07,5302,20968
Chhattisgarh,Janjgir-champa,2025-09,3060,8909
Chhattisgarh,Janjgir-champa,2025-10,5028,8974
Chhattisgarh,Janjgir-champa,2025-11,8102,14283
Chhattisgarh,Janjgir-champa,2025-12,16401,14954
Chhattisgarh,Jashpur,2025-03,823,3469
Chhattisgarh,Jashpur,2025-04,1311,6376
Chhattisgarh,Jashpur,2025-05,1488,5051
Chhattisgarh,Jashpur,2025-06,2626,6403
Chhattisgarh,Jashpur,2025-07,2264,8024
Chhattisgarh,Jashpur,2025-09,1070,3263
Chhattisgarh,Jashpur,2025-10,2892,2126
Chhattisgarh,Jashpur,2025-11,8219,4560
Chhattisgarh,Jashpur,2025-12,9557,5081
Chhattisgarh,Kabeerdham,2025-03,407,1250
Chhattisgarh,Kabeerdham,2025-04,574,2285
Chhattisgarh,Kabeerdham,2025-05,786,2783
Chhattisgarh,Kabeerdham,2025-06,1358,2476
Chhattisgarh,Kabeerdham,2025-07,1218,1800
Chhattisgarh,Kabeerdham,2025-09,874,1034
Chhattisgarh,Kabeerdham,2025-10,1039,899
Chhattisgarh,Kabeerdham,2025-11,2766,1680
Chhattisgarh,Kabeerdham,2025-12,7606,1682
Chhattisgarh,Kanker,2025-03,547,2455
Chhattisgarh,Kanker,2025-04,703,3447
Chhattisgarh,Kanker,2025-05,1052,3581
Chhattisgarh,Kanker,2025-06,1908,6868
Chhattisgarh,Kanker,2025-07,1584,4477
Chhattisgarh,Kanker,2025-09,791,2668
Chhattisgarh,Kanker,2025-10,987,1971
Chhattisgarh,Kanker,2025-11,4670,3519
Chhattisgarh,Kanker,2025-12,7365,4616
Chhattisgarh,Kawardha,2025-03,712,3363
Chhattisgarh,Kawardha,2025-04,895,5195
Chhattisgarh,Kawardha,2025-05,1238,5710
Chhattisgarh,Kawardha,2025-06,2245,5704
Chhattisgarh,Kawardha,2025-07,1847,4217
Chhattisgarh,Kawardha,2025-09,1035,2506
Chhattisgarh,Kawardha,2025-10,1415,2302
Chhattisgarh,Kawardha,2025-11,2948,3115
Chhattisgarh,Kawardha,2025-12,11606,4738
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-06,41,408
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-07,47,292
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-09,13,100
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-10,6,14
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-11,10,35
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-12,15,54
Chhattisgarh,Kondagaon,2025-03,472,2224
Chhattisgarh,Kondagaon,2025-04,541,3788
Chhattisgarh,Kondagaon,2025-05,1041,3407
Chhattisgarh,Kondagaon,2025-06,1771,9901
Chhattisgarh,Kondagaon,2025-07,1401,6403
Chhattisgarh,Kondagaon,2025-09,707,3056
Chhattisgarh,Kondagaon,2025-10,1048,2417
Chhattisgarh,Kondagaon,2025-11,3130,3174
Chhattisgarh,Kondagaon,2025-12,7180,5685
Chhattisgarh,Korba,2025-03,5729,6814
Chhattisgarh,Korba,2025-04,3449,9118
Chhattisgarh,Korba,2025-05,2140,7979
Chhattisgarh,Korba,2025-06,3587,10194
Chhattisgarh,Korba,2025-07,3579,9177
Chhattisgarh,Korba,2025-09,3907,5545
Chhattisgarh,Korba,2025-10,2096,5856
Chhattisgarh,Korba,2025-11,2366,7219
Chhattisgarh,Korba,2025-12,6054,7065
Chhattisgarh,Koriya,2025-03,860,3347
Chhattisgarh,Koriya,2025-04,1146,5315
Chhattisgarh,Koriya,2025-05,1056,4545
Chhattisgarh,Koriya,2025-06,2139,7650
Chhattisgarh,Koriya,2025-07,2496,5535
Chhattisgarh,Koriya,2025-09,1107,3030
Chhattisgarh,Koriya,2025-10,1661,2732
Chhattisgarh,Koriya,2025-11,2202,3656
Chhattisgarh,Koriya,2025-12,6388,6032
Chhattisgarh,Mahasamund,2025-03,1257,5727
Chhattisgarh,Mahasamund,2025-04,1532,12826
Chhattisgarh,Mahasamund,2025-05,1642,8428
Chhattisgarh,Mahasamund,2025-06,3594,14035
Chhattisgarh,Mahasamund,2025-07,3506,8940
Chhattisgarh,Mahasamund,2025-09,1314,4122
Chhattisgarh,Mahasamund,2025-10,1680,3271
Chhattisgarh,Mahasamund,2025-11,5653,5132
Chhattisgarh,Mahasamund,2025-12,10182,7028
Chhattisgarh,ManendragarhChirmiriBharatpur,2025-04,15,118
Chhattisgarh,ManendragarhChirmiriBharatpur,2025-06,19,101
Chhattisgarh,ManendragarhChirmiriBharatpur,2025-07,10,49
Chhattisgarh,Manendragarhâ€“Chirmiriâ€“Bharatpur,2025-09,9,118
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-10,3,13
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-11,6,46
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-12,28,58
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2025-09,0,6
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2025-10,0,3
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2025-11,6,10
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2025-12,30,12
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-03,22,123
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-04,120,777
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-05,176,721
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-06,269,906
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-07,126,468
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-09,53,221
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-10,26,51
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-11,82,62
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-12,186,206
Chhattisgarh,Mungeli,2025-03,936,2497
Chhattisgarh,Mungeli,2025-04,1460,7647
Chhattisgarh,Mungeli,2025-05,1994,6293
Chhattisgarh,Mungeli,2025-06,2484,4970
Chhattisgarh,Mungeli,2025-07,2406,10187
Chhattisgarh,Mungeli,2025-09,1303,4512
Chhattisgarh,Mungeli,2025-10,1683,3760
Chhattisgarh,Mungeli,2025-11,3654,7009
Chhattisgarh,Mungeli,2025-12,12994,6778
Chhattisgarh,Narayanpur,2025-03,504,1544
Chhattisgarh,Narayanpur,2025-04,638,2468
Chhattisgarh,Narayanpur,2025-05,572,1936
Chhattisgarh,Narayanpur,2025-06,585,1744
Chhattisgarh,Narayanpur,2025-07,646,2698
Chhattisgarh,Narayanpur,2025-09,534,1264
Chhattisgarh,Narayanpur,2025-10,320,645
Chhattisgarh,Narayanpur,2025-11,460,876
Chhattisgarh,Narayanpur,2025-12,2897,1842
Chhattisgarh,Raigarh,2025-03,2241,7408
Chhattisgarh,Raigarh,2025-04,2771,13806
Chhattisgarh,Raigarh,2025-05,2535,13681
Chhattisgarh,Raigarh,2025-06,3507,17101
Chhattisgarh,Raigarh,2025-07,3562,18589
Chhattisgarh,Raigarh,2025-09,2681,23266
Chhattisgarh,Raigarh,2025-10,3844,12677
Chhattisgarh,Raigarh,2025-11,6161,14656
Chhattisgarh,Raigarh,2025-12,12323,13817
Chhattisgarh,Raipur,2025-03,2737,9682
Chhattisgarh,Raipur,2025-04,3770,15413
Chhattisgarh,Raipur,2025-05,4261,18656
Chhattisgarh,Raipur,2025-06,5427,18192
Chhattisgarh,Raipur,2025-07,6242,22876
Chhattisgarh,Raipur,2025-09,2964,11555
Chhattisgarh,Raipur,2025-10,2569,4951
Chhattisgarh,Raipur,2025-11,7797,13879
Chhattisgarh,Raipur,2025-12,23968,17430
Chhattisgarh,Rajnandgaon,2025-03,1554,9521
Chhattisgarh,Rajnandgaon,2025-04,2465,13847
Chhattisgarh,Rajnandgaon,2025-05,3087,11257
Chhattisgarh,Rajnandgaon,2025-06,6703,23168
Chhattisgarh,Rajnandgaon,2025-07,4548,12882
Chhattisgarh,Rajnandgaon,2025-09,3259,6638
Chhattisgarh,Rajnandgaon,2025-10,5612,4431
Chhattisgarh,Rajnandgaon,2025-11,10133,8020
Chhattisgarh,Rajnandgaon,2025-12,16296,11077
Chhattisgarh,Sakti,2025-03,10,49
Chhattisgarh,Sakti,2025-04,67,528
Chhattisgarh,Sakti,2025-05,39,360
Chhattisgarh,Sakti,2025-06,187,923
Chhattisgarh,Sakti,2025-07,103,682
Chhattisgarh,Sakti,2025-09,36,258
Chhattisgarh,Sakti,2025-10,22,73
Chhattisgarh,Sakti,2025-11,92,318
Chhattisgarh,Sakti,2025-12,88,189
Chhattisgarh,Sarangarh-Bilaigarh,2025-09,11,188
Chhattisgarh,Sarangarh-Bilaigarh,2025-10,28,152
Chhattisgarh,Sarangarh-Bilaigarh,2025-11,29,223
Chhattisgarh,Sarangarh-Bilaigarh,2025-12,45,367
Chhattisgarh,Sukma,2025-03,398,1033
Chhattisgarh,Sukma,2025-04,879,1508
Chhattisgarh,Sukma,2025-05,941,1639
Chhattisgarh,Sukma,2025-06,1344,2625
Chhattisgarh,Sukma,2025-07,1560,3240
Chhattisgarh,Sukma,2025-09,1011,1526
Chhattisgarh,Sukma,2025-10,719,887
Chhattisgarh,Sukma,2025-11,1161,1179
Chhattisgarh,Sukma,2025-12,5909,2580
Chhattisgarh,Surajpur,2025-03,741,4336
Chhattisgarh,Surajpur,2025-04,1092,7311
Chhattisgarh,Surajpur,2025-05,916,3821
Chhattisgarh,Surajpur,2025-06,2271,7900
Chhattisgarh,Surajpur,2025-07,1919,6297
Chhattisgarh,Surajpur,2025-09,3617,2990
Chhattisgarh,Surajpur,2025-10,3443,3568
Chhattisgarh,Surajpur,2025-11,3007,4948
Chhattisgarh,Surajpur,2025-12,7580,6065
Chhattisgarh,Surguja,2025-03,981,3883
Chhattisgarh,Surguja,2025-04,1534,8880
Chhattisgarh,Surguja,2025-05,1384,5541
Chhattisgarh,Surguja,2025-06,2568,6491
Chhattisgarh,Surguja,2025-07,2479,7668
Chhattisgarh,Surguja,2025-09,1666,4684
Chhattisgarh,Surguja,2025-10,1725,2678
Chhattisgarh,Surguja,2025-11,3656,5113
Chhattisgarh,Surguja,2025-12,14229,7700
Chhattisgarh,Uttar Bastar Kanker,2025-03,181,1236
Chhattisgarh,Uttar Bastar Kanker,2025-04,262,2190
Chhattisgarh,Uttar Bastar Kanker,2025-05,397,2398
Chhattisgarh,Uttar Bastar Kanker,2025-06,676,4834
Chhattisgarh,Uttar Bastar Kanker,2025-07,585,3134
Chhattisgarh,Uttar Bastar Kanker,2025-09,313,1994
Chhattisgarh,Uttar Bastar Kanker,2025-10,348,1416
Chhattisgarh,Uttar Bastar Kanker,2025-11,1552,2384
Chhattisgarh,Uttar Bastar Kanker,2025-12,2724,3677
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-03,13,126
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-05,12,103
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-09,24,63
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-10,3,38
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-11,15,59
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-12,5,92
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2025-03,932,2268
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2025-04,1320,1962
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2025-05,1455,2134
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2025-06,1112,1979
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2025-07,962,2272
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2025-09,2860,2435
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2025-10,431,606
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2025-11,881,1189
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2025-12,838,1599
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2025-03,99,287
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2025-04,97,220
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2025-05,98,256
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2025-06,67,172
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2025-07,80,242
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2025-09,42,67
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2025-10,11,22
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2025-11,26,64
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2025-12,30,98
Dadra and Nagar Haveli and Daman and Diu,Daman,2025-03,20,53
Dadra and Nagar Haveli and Daman and Diu,Daman,2025-04,50,62
Dadra and Nagar Haveli and Daman and Diu,Daman,2025-05,30,56
Dadra and Nagar Haveli and Daman and Diu,Daman,2025-06,28,39
Dadra and Nagar Haveli and Daman and Diu,Daman,2025-07,31,57
Dadra and Nagar Haveli and Daman and Diu,Daman,2025-09,15,16
